RealElapsedTime,Xdeg,Ydeg,Angle
2.8621927,0,22.5,315
2.8793501,0,22.5,315
2.8960968,0,22.5,315
2.9135665,0,22.5,315
2.9297283,0,22.5,315
2.9543873,0,22.5,315
2.9683102,0,22.5,315
2.9822104,0,22.5,315
2.9966057,0,22.5,315
3.015136,0,22.5,315
3.0303152,0,22.5,315
3.0485706,0,22.5,315
3.0649583,0,22.5,315
3.0818841,0,22.5,315
3.0983396,0,22.5,315
3.1137565,0,22.5,315
3.1291256,0,22.5,315
3.1469035,0,22.5,315
3.1624275,0,22.5,315
3.1806739,0,22.5,315
3.1956952,0,22.5,315
3.2139718,0,22.5,315
3.2292613,0,22.5,315
3.2479065,0,22.5,315
3.262267,0,22.5,315
3.2823544,0,22.5,315
3.2965077,0,22.5,315
3.3133319,0,22.5,315
3.3290043,0,22.5,315
3.3471923,0,22.5,315
3.3625487,0,22.5,45
3.3802557,0,22.5,45
3.3975291,0,22.5,45
3.4136822,0,22.5,45
3.4290678,0,22.5,45
3.4490612,0,22.5,45
3.4652617,0,22.5,45
3.4790577,0,22.5,45
3.4970033,0,22.5,45
3.5125242,0,22.5,45
3.5289937,0,22.5,45
3.5470808,0,22.5,45
3.5625351,0,22.5,45
3.5801867,0,22.5,45
3.595736,0,22.5,45
3.6140109,0,22.5,45
3.6296932,0,22.5,45
3.6466903,0,22.5,45
3.6623243,0,22.5,45
3.6905795,0,22.5,45
3.7031253,0,22.5,45
3.7152185,0,22.5,45
3.7287982,0,22.5,45
3.7449949,0,22.5,45
3.7672015,0,22.5,45
3.7829432,0,22.5,45
3.8008049,0,22.5,45
3.8202656,0,22.5,45
3.8328607,0,22.5,45
3.8506154,0,22.5,225
3.8671061,0,22.5,225
3.8864401,0,22.5,225
3.9009142,0,22.5,225
3.9191856,0,22.5,225
3.9347059,0,22.5,225
3.9490911,0,22.5,225
3.9664474,0,22.5,225
3.980518,0,22.5,225
3.9986844,0,22.5,225
4.0162532,0,22.5,225
4.0362008,0,22.5,225
