Frame,Timestamp,Value
0,0.0255337,Bonsai.Shaders.FrameEvent
1,0.068792,Bonsai.Shaders.FrameEvent
2,0.0862975,Bonsai.Shaders.FrameEvent
3,0.1034213,Bonsai.Shaders.FrameEvent
4,0.1204558,Bonsai.Shaders.FrameEvent
5,0.1425464,Bonsai.Shaders.FrameEvent
6,0.1555127,Bonsai.Shaders.FrameEvent
7,0.1700256,Bonsai.Shaders.FrameEvent
8,0.1908285,Bonsai.Shaders.FrameEvent
9,0.2030226,Bonsai.Shaders.FrameEvent
10,0.2233026,Bonsai.Shaders.FrameEvent
11,0.2374987,Bonsai.Shaders.FrameEvent
12,0.2559497,Bonsai.Shaders.FrameEvent
13,0.2823008,Bonsai.Shaders.FrameEvent
14,0.3048031,Bonsai.Shaders.FrameEvent
15,0.3223712,Bonsai.Shaders.FrameEvent
16,0.3381376,Bonsai.Shaders.FrameEvent
17,0.3558172,Bonsai.Shaders.FrameEvent
18,0.3707823,Bonsai.Shaders.FrameEvent
19,0.3881055,Bonsai.Shaders.FrameEvent
20,0.4040884,Bonsai.Shaders.FrameEvent
21,0.4219133,Bonsai.Shaders.FrameEvent
22,0.4382565,Bonsai.Shaders.FrameEvent
23,0.4560963,Bonsai.Shaders.FrameEvent
24,0.4740154,Bonsai.Shaders.FrameEvent
25,0.4911934,Bonsai.Shaders.FrameEvent
26,0.5041941,Bonsai.Shaders.FrameEvent
27,0.5218381,Bonsai.Shaders.FrameEvent
28,0.5387271,Bonsai.Shaders.FrameEvent
29,0.5586929,Bonsai.Shaders.FrameEvent
30,0.5724951,Bonsai.Shaders.FrameEvent
31,0.5899049,Bonsai.Shaders.FrameEvent
32,0.6057902,Bonsai.Shaders.FrameEvent
33,0.6233217,Bonsai.Shaders.FrameEvent
34,0.6385032,Bonsai.Shaders.FrameEvent
35,0.6576538,Bonsai.Shaders.FrameEvent
36,0.6712683,Bonsai.Shaders.FrameEvent
37,0.6883246,Bonsai.Shaders.FrameEvent
38,0.7065411,Bonsai.Shaders.FrameEvent
39,0.7265863,Bonsai.Shaders.FrameEvent
40,0.7385895,Bonsai.Shaders.FrameEvent
41,0.7647247,Bonsai.Shaders.FrameEvent
42,0.7721365,Bonsai.Shaders.FrameEvent
43,0.7893496,Bonsai.Shaders.FrameEvent
44,0.8039102,Bonsai.Shaders.FrameEvent
45,0.8220229,Bonsai.Shaders.FrameEvent
46,0.8373766,Bonsai.Shaders.FrameEvent
47,0.8551454,Bonsai.Shaders.FrameEvent
48,0.8708867,Bonsai.Shaders.FrameEvent
49,0.8880726,Bonsai.Shaders.FrameEvent
50,0.9040306,Bonsai.Shaders.FrameEvent
51,1.2652732,Bonsai.Shaders.FrameEvent
52,1.3012926,Bonsai.Shaders.FrameEvent
53,1.3105046,Bonsai.Shaders.FrameEvent
54,1.3217509,Bonsai.Shaders.FrameEvent
55,1.3386467,Bonsai.Shaders.FrameEvent
56,1.3546864,Bonsai.Shaders.FrameEvent
57,1.3709767,Bonsai.Shaders.FrameEvent
58,1.3876504,Bonsai.Shaders.FrameEvent
59,1.4063201,Bonsai.Shaders.FrameEvent
60,1.4218897,Bonsai.Shaders.FrameEvent
61,1.4377498,Bonsai.Shaders.FrameEvent
62,1.4543742,Bonsai.Shaders.FrameEvent
63,1.4719931,Bonsai.Shaders.FrameEvent
64,1.4868311,Bonsai.Shaders.FrameEvent
65,1.5048602,Bonsai.Shaders.FrameEvent
66,1.5207324,Bonsai.Shaders.FrameEvent
67,1.5379551,Bonsai.Shaders.FrameEvent
68,1.5552503,Bonsai.Shaders.FrameEvent
69,1.5709693,Bonsai.Shaders.FrameEvent
70,1.5873731,Bonsai.Shaders.FrameEvent
71,1.6038744,Bonsai.Shaders.FrameEvent
72,1.6205544,Bonsai.Shaders.FrameEvent
73,1.6368526,Bonsai.Shaders.FrameEvent
74,1.6529277,Bonsai.Shaders.FrameEvent
75,1.6690429,Bonsai.Shaders.FrameEvent
76,1.6855119,Bonsai.Shaders.FrameEvent
77,1.7027742,Bonsai.Shaders.FrameEvent
78,1.7191035,Bonsai.Shaders.FrameEvent
79,1.7356982,Bonsai.Shaders.FrameEvent
80,1.7532371,Bonsai.Shaders.FrameEvent
81,1.7704781,Bonsai.Shaders.FrameEvent
82,1.7970344,Bonsai.Shaders.FrameEvent
83,1.805007,Bonsai.Shaders.FrameEvent
84,1.8240252,Bonsai.Shaders.FrameEvent
85,1.8437466,Bonsai.Shaders.FrameEvent
86,1.8558054,Bonsai.Shaders.FrameEvent
87,1.8727502,Bonsai.Shaders.FrameEvent
88,1.8913954,Bonsai.Shaders.FrameEvent
89,1.9044827,Bonsai.Shaders.FrameEvent
90,1.9217394,Bonsai.Shaders.FrameEvent
91,1.9380572,Bonsai.Shaders.FrameEvent
92,1.9538267,Bonsai.Shaders.FrameEvent
93,1.9722984,Bonsai.Shaders.FrameEvent
94,1.9878574,Bonsai.Shaders.FrameEvent
95,2.0091128,Bonsai.Shaders.FrameEvent
96,2.0210716,Bonsai.Shaders.FrameEvent
97,2.0374113,Bonsai.Shaders.FrameEvent
98,2.0533224,Bonsai.Shaders.FrameEvent
99,2.0699187,Bonsai.Shaders.FrameEvent
100,2.0872854,Bonsai.Shaders.FrameEvent
101,2.104858,Bonsai.Shaders.FrameEvent
102,2.1199356,Bonsai.Shaders.FrameEvent
103,2.1397096,Bonsai.Shaders.FrameEvent
104,2.1555722,Bonsai.Shaders.FrameEvent
105,2.1720758,Bonsai.Shaders.FrameEvent
106,2.186772,Bonsai.Shaders.FrameEvent
107,2.2034908,Bonsai.Shaders.FrameEvent
108,2.223463,Bonsai.Shaders.FrameEvent
109,2.2456585,Bonsai.Shaders.FrameEvent
110,2.2536371,Bonsai.Shaders.FrameEvent
111,2.2926488,Bonsai.Shaders.FrameEvent
112,2.3044017,Bonsai.Shaders.FrameEvent
113,2.32058,Bonsai.Shaders.FrameEvent
114,2.3399519,Bonsai.Shaders.FrameEvent
115,2.3536727,Bonsai.Shaders.FrameEvent
116,2.3702283,Bonsai.Shaders.FrameEvent
117,2.6195209,Bonsai.Shaders.FrameEvent
118,2.7096539,Bonsai.Shaders.FrameEvent
119,2.7129586,Bonsai.Shaders.FrameEvent
120,2.7225556,Bonsai.Shaders.FrameEvent
121,2.7421604,Bonsai.Shaders.FrameEvent
122,2.7699952,Bonsai.Shaders.FrameEvent
123,2.8014031,Bonsai.Shaders.FrameEvent
124,2.8178188,Bonsai.Shaders.FrameEvent
125,2.8309183,Bonsai.Shaders.FrameEvent
126,2.8455025,Bonsai.Shaders.FrameEvent
127,2.8591483,Bonsai.Shaders.FrameEvent
128,2.8709691,Bonsai.Shaders.FrameEvent
129,2.8876278,Bonsai.Shaders.FrameEvent
130,2.9034013,Bonsai.Shaders.FrameEvent
131,2.9207981,Bonsai.Shaders.FrameEvent
132,2.938651,Bonsai.Shaders.FrameEvent
133,2.9533572,Bonsai.Shaders.FrameEvent
134,2.9703711,Bonsai.Shaders.FrameEvent
135,2.9860042,Bonsai.Shaders.FrameEvent
136,3.002787,Bonsai.Shaders.FrameEvent
137,3.0193743,Bonsai.Shaders.FrameEvent
138,3.0362267,Bonsai.Shaders.FrameEvent
139,3.0536211,Bonsai.Shaders.FrameEvent
140,3.0701939,Bonsai.Shaders.FrameEvent
141,3.0868628,Bonsai.Shaders.FrameEvent
142,3.1036936,Bonsai.Shaders.FrameEvent
143,3.1201394,Bonsai.Shaders.FrameEvent
144,3.1368015,Bonsai.Shaders.FrameEvent
145,3.1537703,Bonsai.Shaders.FrameEvent
146,3.1703518,Bonsai.Shaders.FrameEvent
147,3.1870301,Bonsai.Shaders.FrameEvent
148,3.2037102,Bonsai.Shaders.FrameEvent
149,3.2232206,Bonsai.Shaders.FrameEvent
150,3.2371905,Bonsai.Shaders.FrameEvent
151,3.2535611,Bonsai.Shaders.FrameEvent
152,3.2777413,Bonsai.Shaders.FrameEvent
153,3.2915448,Bonsai.Shaders.FrameEvent
154,3.3055973,Bonsai.Shaders.FrameEvent
155,3.3212071,Bonsai.Shaders.FrameEvent
156,3.3389766,Bonsai.Shaders.FrameEvent
157,3.3546061,Bonsai.Shaders.FrameEvent
158,3.3712048,Bonsai.Shaders.FrameEvent
159,3.3894459,Bonsai.Shaders.FrameEvent
160,3.4082778,Bonsai.Shaders.FrameEvent
161,3.4252657,Bonsai.Shaders.FrameEvent
162,3.4535697,Bonsai.Shaders.FrameEvent
163,3.4583764,Bonsai.Shaders.FrameEvent
164,3.4759884,Bonsai.Shaders.FrameEvent
165,3.4917882,Bonsai.Shaders.FrameEvent
166,3.5079463,Bonsai.Shaders.FrameEvent
167,3.5247571,Bonsai.Shaders.FrameEvent
168,3.5389337,Bonsai.Shaders.FrameEvent
169,3.5550417,Bonsai.Shaders.FrameEvent
170,3.5718169,Bonsai.Shaders.FrameEvent
171,3.5885495,Bonsai.Shaders.FrameEvent
172,3.6049741,Bonsai.Shaders.FrameEvent
173,3.6217616,Bonsai.Shaders.FrameEvent
174,3.6381384,Bonsai.Shaders.FrameEvent
175,3.6550275,Bonsai.Shaders.FrameEvent
176,3.6720667,Bonsai.Shaders.FrameEvent
177,3.6880343,Bonsai.Shaders.FrameEvent
178,3.7049652,Bonsai.Shaders.FrameEvent
179,3.7231025,Bonsai.Shaders.FrameEvent
180,3.7392502,Bonsai.Shaders.FrameEvent
181,3.758206,Bonsai.Shaders.FrameEvent
182,3.7709214,Bonsai.Shaders.FrameEvent
183,3.7877864,Bonsai.Shaders.FrameEvent
184,3.804279,Bonsai.Shaders.FrameEvent
185,3.8209664,Bonsai.Shaders.FrameEvent
186,3.8385094,Bonsai.Shaders.FrameEvent
