Frame,Timestamp,Value
0,0.0463398,Bonsai.Shaders.FrameEvent
1,0.1995452,Bonsai.Shaders.FrameEvent
2,0.2065398,Bonsai.Shaders.FrameEvent
3,0.2231316,Bonsai.Shaders.FrameEvent
4,0.2406759,Bonsai.Shaders.FrameEvent
5,0.2605737,Bonsai.Shaders.FrameEvent
6,0.2760916,Bonsai.Shaders.FrameEvent
7,0.2913707,Bonsai.Shaders.FrameEvent
8,0.3210597,Bonsai.Shaders.FrameEvent
9,0.3329688,Bonsai.Shaders.FrameEvent
10,0.345133,Bonsai.Shaders.FrameEvent
11,0.3579474,Bonsai.Shaders.FrameEvent
12,0.3766014,Bonsai.Shaders.FrameEvent
13,0.3978339,Bonsai.Shaders.FrameEvent
14,0.4060796,Bonsai.Shaders.FrameEvent
15,0.4258497,Bonsai.Shaders.FrameEvent
16,0.8133082,Bonsai.Shaders.FrameEvent
17,0.8154944,Bonsai.Shaders.FrameEvent
18,0.8240656,Bonsai.Shaders.FrameEvent
19,0.8408326,Bonsai.Shaders.FrameEvent
20,0.8594706,Bonsai.Shaders.FrameEvent
21,0.8745583,Bonsai.Shaders.FrameEvent
22,0.8912509,Bonsai.Shaders.FrameEvent
23,0.9077071,Bonsai.Shaders.FrameEvent
24,0.9247865,Bonsai.Shaders.FrameEvent
25,0.9415913,Bonsai.Shaders.FrameEvent
26,0.9580829,Bonsai.Shaders.FrameEvent
27,0.9754703,Bonsai.Shaders.FrameEvent
28,0.9925764,Bonsai.Shaders.FrameEvent
29,1.0082003,Bonsai.Shaders.FrameEvent
30,1.0246761,Bonsai.Shaders.FrameEvent
31,1.0418686,Bonsai.Shaders.FrameEvent
32,1.0581314,Bonsai.Shaders.FrameEvent
33,1.0740679,Bonsai.Shaders.FrameEvent
34,1.0920251,Bonsai.Shaders.FrameEvent
35,1.1075842,Bonsai.Shaders.FrameEvent
36,1.1237158,Bonsai.Shaders.FrameEvent
37,1.1404565,Bonsai.Shaders.FrameEvent
38,1.1571942,Bonsai.Shaders.FrameEvent
39,1.1746936,Bonsai.Shaders.FrameEvent
40,1.1915539,Bonsai.Shaders.FrameEvent
41,1.2073852,Bonsai.Shaders.FrameEvent
42,1.2239856,Bonsai.Shaders.FrameEvent
43,1.2414118,Bonsai.Shaders.FrameEvent
44,1.257357,Bonsai.Shaders.FrameEvent
45,1.2742164,Bonsai.Shaders.FrameEvent
46,1.2905702,Bonsai.Shaders.FrameEvent
47,1.3072329,Bonsai.Shaders.FrameEvent
48,1.3367341,Bonsai.Shaders.FrameEvent
49,1.3442851,Bonsai.Shaders.FrameEvent
50,1.3577437,Bonsai.Shaders.FrameEvent
51,1.3759861,Bonsai.Shaders.FrameEvent
52,1.3912892,Bonsai.Shaders.FrameEvent
53,1.4077358,Bonsai.Shaders.FrameEvent
54,1.426451,Bonsai.Shaders.FrameEvent
55,1.4427943,Bonsai.Shaders.FrameEvent
56,1.458037,Bonsai.Shaders.FrameEvent
57,1.4752442,Bonsai.Shaders.FrameEvent
58,1.4912262,Bonsai.Shaders.FrameEvent
59,1.5074635,Bonsai.Shaders.FrameEvent
60,1.5247315,Bonsai.Shaders.FrameEvent
61,1.5420455,Bonsai.Shaders.FrameEvent
62,1.5575169,Bonsai.Shaders.FrameEvent
63,1.5761362,Bonsai.Shaders.FrameEvent
64,1.5928084,Bonsai.Shaders.FrameEvent
65,1.6067478,Bonsai.Shaders.FrameEvent
66,1.6227282,Bonsai.Shaders.FrameEvent
67,1.639692,Bonsai.Shaders.FrameEvent
68,1.6566924,Bonsai.Shaders.FrameEvent
69,1.67331,Bonsai.Shaders.FrameEvent
70,1.6926109,Bonsai.Shaders.FrameEvent
71,1.7067234,Bonsai.Shaders.FrameEvent
72,1.7231487,Bonsai.Shaders.FrameEvent
73,1.7398794,Bonsai.Shaders.FrameEvent
74,1.7593184,Bonsai.Shaders.FrameEvent
75,1.7741788,Bonsai.Shaders.FrameEvent
76,1.7907062,Bonsai.Shaders.FrameEvent
77,1.8085453,Bonsai.Shaders.FrameEvent
78,1.8256166,Bonsai.Shaders.FrameEvent
79,1.8405787,Bonsai.Shaders.FrameEvent
80,1.8573546,Bonsai.Shaders.FrameEvent
81,1.8742144,Bonsai.Shaders.FrameEvent
82,1.8909436,Bonsai.Shaders.FrameEvent
83,1.9076493,Bonsai.Shaders.FrameEvent
84,1.9250221,Bonsai.Shaders.FrameEvent
85,1.940626,Bonsai.Shaders.FrameEvent
86,1.9576268,Bonsai.Shaders.FrameEvent
87,1.9741238,Bonsai.Shaders.FrameEvent
88,1.9932101,Bonsai.Shaders.FrameEvent
89,2.0111381,Bonsai.Shaders.FrameEvent
90,2.0255339,Bonsai.Shaders.FrameEvent
91,2.0418391,Bonsai.Shaders.FrameEvent
92,2.0612311,Bonsai.Shaders.FrameEvent
93,2.0763877,Bonsai.Shaders.FrameEvent
94,2.0927033,Bonsai.Shaders.FrameEvent
95,2.1105828,Bonsai.Shaders.FrameEvent
96,2.1257628,Bonsai.Shaders.FrameEvent
97,2.1433477,Bonsai.Shaders.FrameEvent
98,2.1582611,Bonsai.Shaders.FrameEvent
99,2.1741608,Bonsai.Shaders.FrameEvent
100,2.19066,Bonsai.Shaders.FrameEvent
101,2.2072017,Bonsai.Shaders.FrameEvent
102,2.2237673,Bonsai.Shaders.FrameEvent
103,2.2413858,Bonsai.Shaders.FrameEvent
104,2.2648575,Bonsai.Shaders.FrameEvent
105,2.2743239,Bonsai.Shaders.FrameEvent
106,2.2919448,Bonsai.Shaders.FrameEvent
107,2.3107533,Bonsai.Shaders.FrameEvent
108,2.3231077,Bonsai.Shaders.FrameEvent
109,2.3394447,Bonsai.Shaders.FrameEvent
110,2.356158,Bonsai.Shaders.FrameEvent
111,2.3730077,Bonsai.Shaders.FrameEvent
112,2.3900893,Bonsai.Shaders.FrameEvent
113,2.4063356,Bonsai.Shaders.FrameEvent
114,2.4231257,Bonsai.Shaders.FrameEvent
115,2.4398344,Bonsai.Shaders.FrameEvent
116,2.4564907,Bonsai.Shaders.FrameEvent
117,2.4731644,Bonsai.Shaders.FrameEvent
118,2.4900264,Bonsai.Shaders.FrameEvent
119,2.5071479,Bonsai.Shaders.FrameEvent
120,2.5232879,Bonsai.Shaders.FrameEvent
121,2.5398245,Bonsai.Shaders.FrameEvent
122,2.5566106,Bonsai.Shaders.FrameEvent
123,2.5728583,Bonsai.Shaders.FrameEvent
124,2.5893185,Bonsai.Shaders.FrameEvent
125,2.6058417,Bonsai.Shaders.FrameEvent
126,2.6226056,Bonsai.Shaders.FrameEvent
127,2.6392997,Bonsai.Shaders.FrameEvent
128,2.6559456,Bonsai.Shaders.FrameEvent
129,2.6724925,Bonsai.Shaders.FrameEvent
130,2.6926459,Bonsai.Shaders.FrameEvent
131,2.7061884,Bonsai.Shaders.FrameEvent
132,2.7227619,Bonsai.Shaders.FrameEvent
133,2.7396884,Bonsai.Shaders.FrameEvent
134,2.7573062,Bonsai.Shaders.FrameEvent
135,2.7739588,Bonsai.Shaders.FrameEvent
136,2.7903823,Bonsai.Shaders.FrameEvent
137,2.8326124,Bonsai.Shaders.FrameEvent
138,2.8411316,Bonsai.Shaders.FrameEvent
139,2.8574408,Bonsai.Shaders.FrameEvent
140,2.8737703,Bonsai.Shaders.FrameEvent
141,2.890594,Bonsai.Shaders.FrameEvent
142,2.9075112,Bonsai.Shaders.FrameEvent
143,2.923893,Bonsai.Shaders.FrameEvent
144,2.9407425,Bonsai.Shaders.FrameEvent
145,2.95889,Bonsai.Shaders.FrameEvent
146,2.9761801,Bonsai.Shaders.FrameEvent
147,2.9911019,Bonsai.Shaders.FrameEvent
148,3.0098264,Bonsai.Shaders.FrameEvent
149,3.0242558,Bonsai.Shaders.FrameEvent
150,3.0435614,Bonsai.Shaders.FrameEvent
151,3.057525,Bonsai.Shaders.FrameEvent
152,3.0750501,Bonsai.Shaders.FrameEvent
153,3.0911365,Bonsai.Shaders.FrameEvent
154,3.1076955,Bonsai.Shaders.FrameEvent
155,3.1241089,Bonsai.Shaders.FrameEvent
156,3.1410754,Bonsai.Shaders.FrameEvent
157,3.1574722,Bonsai.Shaders.FrameEvent
158,3.1752128,Bonsai.Shaders.FrameEvent
159,3.1913624,Bonsai.Shaders.FrameEvent
160,3.2075975,Bonsai.Shaders.FrameEvent
161,3.2242899,Bonsai.Shaders.FrameEvent
162,3.2418918,Bonsai.Shaders.FrameEvent
163,3.2603358,Bonsai.Shaders.FrameEvent
164,3.2751974,Bonsai.Shaders.FrameEvent
165,3.2910009,Bonsai.Shaders.FrameEvent
166,3.3072429,Bonsai.Shaders.FrameEvent
167,3.3285142,Bonsai.Shaders.FrameEvent
168,3.3408338,Bonsai.Shaders.FrameEvent
169,3.3572743,Bonsai.Shaders.FrameEvent
170,3.3740695,Bonsai.Shaders.FrameEvent
171,3.3906255,Bonsai.Shaders.FrameEvent
172,3.4074624,Bonsai.Shaders.FrameEvent
173,3.4255416,Bonsai.Shaders.FrameEvent
174,3.4438672,Bonsai.Shaders.FrameEvent
175,3.457593,Bonsai.Shaders.FrameEvent
176,3.474336,Bonsai.Shaders.FrameEvent
177,3.4909687,Bonsai.Shaders.FrameEvent
178,3.5071763,Bonsai.Shaders.FrameEvent
179,3.5238788,Bonsai.Shaders.FrameEvent
180,3.5404132,Bonsai.Shaders.FrameEvent
181,3.5570631,Bonsai.Shaders.FrameEvent
182,3.5750962,Bonsai.Shaders.FrameEvent
183,3.5907591,Bonsai.Shaders.FrameEvent
