Height,Width,RotationX,RotationY,RotationZ,TranslationX,TranslationY,TranslationZ,ViewportWidth,ViewportX
52.08333288,29.29687475,6.29E-04,1.53E+00,8.27E-03,-2.70E+01,-1.19E-01,-7.91E-01,0.25,0
52.08333288,29.29687475,0.0018,4.73E-01,1.87E-02,-1.33E+01,2.91E-01,-2.35E+01,0.25,0.25
52.08333288,29.29687475,0.0145,-4.24E-01,8.32E-03,1.62E+01,5.19E-01,-2.13E+01,0.25,0.5
52.08333288,29.29687475,0.0082,-1.59E+00,-1.91E-03,2.95E+01,4.18E-01,6.51E-01,0.25,0.75
